arb_id,facility_name,reporting_year,total_emissions_co2e,total_emissions_co2e_non_biogenic,co2_biogenic,fuel_supplier_co2e_non_biogenic,fuel_supplier_co2e_biogenic,electricity_importer_Correspondance2e,emitter_covered_emissions,fuel_supplier_covered_emissions,electricity_importer_covered_emissions,total_covered_emissions,total_non_covered_emissions,city,state,zip_code,naics,epa_carb_subparts,industry_sector
101246,Los Angeles Refinery (LAR),2020,5621453.73,5621453.73,0.00,0.00,0.00,0.00,5620277.73,0.00,0.00,5620277.73,1176.00,Carson,CA,90810,324110 - Petroleum Refineries,"C,P,PP,Y",Refinery and Hydrogen Plant / CO2 Supplier
104085,San Diego Gas and Electric (SDG&E) - Local Distribution,2020,5340871.52,0.00,0.00,5340871.52,0.00,0.00,0.00,3012385.64,0.00,3012385.64,2328485.87,San Diego,CA,92123,221210 - Natural Gas Distribution,NN,"Supplier of Natural Gas, NGL, or LPG"
101384,"Chevron Products Company - Richmond Refinery, 94802",2020,4129306.94,4129306.94,0.00,0.00,0.00,0.00,4124049.81,0.00,0.00,4124049.81,5257.13,Richmond,CA,94802,324110 - Petroleum Refineries,"C,P,Y",Refinery and Hydrogen Plant / CO2 Supplier
100914,Martinez Refining Company LLC,2020,3699297.76,3699297.76,0.00,0.00,0.00,0.00,3698424.45,0.00,0.00,3698424.45,873.31,Martinez,CA,94553,324110 - Petroleum Refineries,"C,P,Y",Refinery and Hydrogen Plant
100138,"Chevron Products Company - El Segundo Refinery, 90245",2020,3099919.70,3099919.70,0.00,0.00,0.00,0.00,3098855.98,0.00,0.00,3098855.98,1063.72,El Segundo,CA,90245,324110 - Petroleum Refineries,"C,P,PP,Y",Refinery and Hydrogen Plant / CO2 Supplier
104016,Aera Energy San Joaquin Basin,2020,3030476.82,3030476.82,0.00,0.00,0.00,0.00,3015690.98,0.00,0.00,3015690.98,14785.84,Bakersfield,CA,93311,211111 - Crude Petroleum and Natural Gas Extraction,"C,W",Oil and Gas Production
104014,"California Resources Elk Hills, LLC - 35R Gas Plant",2020,2877819.25,1576828.76,0.00,1300990.49,0.00,0.00,1575096.09,257502.39,0.00,1832598.48,1045220.77,Tupman,CA,93276,211111 - Crude Petroleum and Natural Gas Extraction,"C,NN,W","Oil and Gas Production / Supplier of Natural Gas, NGL, or LPG"
100217,Torrance Refinery,2020,2809420.71,2809420.71,0.00,0.00,0.00,0.00,2808893.81,0.00,0.00,2808893.81,526.90,TORRANCE,CA,90504,324110 - Petroleum Refineries,"C,P,PP,Y",Refinery and Hydrogen Plant / CO2 Supplier
100372,"Valero Refining Company - California, Benicia Refinery and Benicia Asphalt Plant",2020,2753756.80,2753756.80,0.00,0.00,0.00,0.00,2752695.83,0.00,0.00,2752695.83,1060.97,Benicia,CA,94510,324110 - Petroleum Refineries,"C,P,PP,Y",Refinery and Hydrogen Plant / CO2 Supplier
104498,Kern Oil - Fuel Supplier,2020,2533345.47,0.00,0.00,2308925.51,224419.96,0.00,0.00,2308925.51,0.00,2308925.51,224419.96,Bakersfield,CA,93307,324110 - Petroleum Refineries,MM,Transportation Fuel Supplier
104717,"Neste US, Inc.",2020,2472537.86,0.00,0.00,2024.26,2470513.61,0.00,0.00,0.00,0.00,0.00,2472537.86,Houston,TX,77056,424720 - Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),MM,Transportation Fuel Supplier
104089,Petro-Diamond,2020,2163974.52,0.00,0.00,2027539.50,136435.03,0.00,0.00,2027539.50,0.00,2027539.50,136435.03,Irvine,CA,92614,424720 - Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),MM,Transportation Fuel Supplier
104229,Idemitsu Apollo Corporation,2020,2147234.11,0.00,0.00,1976332.23,170901.88,0.00,0.00,1976332.23,0.00,1976332.23,170901.88,Sacramento,CA,95811,424720 - Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),MM,Transportation Fuel Supplier
101476,Cemex Construction Materials Pacific LLC - Victorville Plant,2020,2095723.38,2002177.38,93546.00,0.00,0.00,0.00,2002168.54,0.00,0.00,2002168.54,93554.84,Apple Valley,CA,92307,327310 - Cement Manufacturing,"C,H",Cement Plant
104352,Sacramento Municipal Utility District (SMUD) - Gas Pipeline,2020,2075084.01,0.00,0.00,2043644.33,31439.68,0.00,0.00,0.00,0.00,0.00,2075084.01,Sacramento,CA,95817,486210 - Pipeline Transportation of Natural Gas,NN,"Supplier of Natural Gas, NGL, or LPG"
104012,Chevron AAPG 745 San Joaquin Basin,2020,2046471.65,2046471.65,0.00,0.00,0.00,0.00,2031775.16,0.00,0.00,2031775.16,14696.49,San Ramon,CA,94583,211111 - Crude Petroleum and Natural Gas Extraction,"C,W",Oil and Gas Production
104511,Shiralian Enterprises,2020,2014736.77,0.00,0.00,1909793.96,104942.80,0.00,0.00,1909793.96,0.00,1909793.96,104942.80,Fresno,CA,93711,447190 - Other Gasoline Stations,MM,Transportation Fuel Supplier
100221,Moss Land Power Plant,2020,1984495.19,1984495.19,0.00,0.00,0.00,0.00,1984495.19,0.00,0.00,1984495.19,0.00,Moss Landing,CA,95039,221112 - Fossil Fuel Electric Power Generation,"C,D",In-State Electricity Generation
2060,"Sempra Gas & Power Marketing, LLC - EPE",2020,1051567.30,0.00,0.00,0.00,0.00,1051567.30,0.00,0.00,1051567.30,1051567.30,0.00,San Diego,CA,92101,221122 - Electric Power Distribution,EPE,Electricity Importer
104320,Jaco Oil Company,2020,1890748.11,0.00,0.00,1773199.10,117549.02,0.00,0.00,1773199.10,0.00,1773199.10,117549.02,BAKERSFIELD,CA,93308,447190 - Other Gasoline Stations,MM,Transportation Fuel Supplier
3038,Imperial Irrigation District (IID) - EPE,2020,960213.17,0.00,0.00,0.00,0.00,960213.17,0.00,0.00,484826.78,484826.78,475386.38,Imperial,CA,92251,221122 - Electric Power Distribution,EPE,Electricity Importer
104102,Flyers Energy,2020,1805598.45,0.00,0.00,1713323.65,92274.80,0.00,0.00,1713323.65,0.00,1713323.65,92274.80,AUBURN,CA,95602,424720 - Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),MM,Transportation Fuel Supplier
3005,Southern California Edison (SCE) - EPE,2020,868750.52,0.00,0.00,0.00,0.00,868750.52,0.00,0.00,40221.70,40221.70,828528.82,Rosemead,CA,91770,221121 - Electric Bulk Power Transmission and Control,EPE,Electricity Importer
3023,"Anaheim, City of PUD - EPE",2020,863977.33,0.00,0.00,0.00,0.00,863977.33,0.00,0.00,863977.33,863977.33,0.00,Anaheim,CA,92805,221121 - Electric Bulk Power Transmission and Control,EPE,Electricity Importer
100329,Phillips 66 Company - Los Angeles Refinery - Wilmington Plant,2020,1642710.80,1642710.80,0.00,0.00,0.00,0.00,1639409.01,0.00,0.00,1639409.01,3301.79,Wilmington,CA,90744,324110 - Petroleum Refineries,"C,P,PP,Y",Refinery and Hydrogen Plant / CO2 Supplier
100345,Calpine - Pastoria Energy Facility L.L.C.,2020,1632239.50,1632239.50,0.00,0.00,0.00,0.00,1632239.50,0.00,0.00,1632239.50,0.00,Lebec,CA,93243,221112 - Fossil Fuel Electric Power Generation,C,In-State Electricity Generation
100011,Searles Valley Minerals Inc.,2020,1584517.89,1584517.89,0.00,0.00,0.00,0.00,1584517.89,0.00,0.00,1584517.89,0.00,Trona,CA,93562,"212391 - Potash, Soda, and Borate Mineral Mining",C,Other Combustion Source
104494,"Pilot Travel Centers, LLC",2020,1549947.51,0.00,0.00,1188019.41,361928.09,0.00,0.00,1188019.41,0.00,1188019.41,361928.09,Knoxville,TN,37909,424720 - Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),MM,Transportation Fuel Supplier
101526,"Calpine - Delta Energy Center, LLC",2020,1497819.43,1497819.43,0.00,0.00,0.00,0.00,1497819.43,0.00,0.00,1497819.43,0.00,Pittsburg,CA,94565,221112 - Fossil Fuel Electric Power Generation,C,In-State Electricity Generation
100187,Los Angeles Department of Water & Power-Haynes Generating Station (LADWP),2020,1486395.79,1486395.79,0.00,0.00,0.00,0.00,1486394.00,0.00,0.00,1486394.00,1.78,Long Beach,CA,90803,221112 - Fossil Fuel Electric Power Generation,"C,D",In-State Electricity Generation
3004,San Diego Gas & Electric (SDG&E) - EPE,2020,642768.32,0.00,0.00,0.00,0.00,642768.32,0.00,0.00,642768.32,642768.32,0.00,San Diego,CA,92123,221122 - Electric Power Distribution,EPE,Electricity Importer
3003,PacifiCorp - MJRP,2020,602997.56,0.00,0.00,0.00,0.00,602997.56,0.00,0.00,602997.56,602997.56,0.00,Portland,OR,97232,221122 - Electric Power Distribution,EPE,Electricity Importer
3002,Pacific Gas & Electric Company (PG&E) - EPE,2020,522894.11,0.00,0.00,0.00,0.00,522894.11,0.00,0.00,0.00,0.00,522894.11,San Francisco ,CA,94105,221122 - Electric Power Distribution,EPE,Electricity Importer
100365,"Sacramento Municipal Utility District (SMUD) , Cosumnes Power Plant",2020,1415029.47,1336679.97,78349.50,0.00,0.00,0.00,1336679.97,0.00,0.00,1336679.97,78349.50,Herald,CA,95638,221112 - Fossil Fuel Electric Power Generation,D,In-State Electricity Generation
100013,"CalPortland Company, Oro Grande Plant",2020,1374930.38,1374930.38,0.00,0.00,0.00,0.00,1374930.38,0.00,0.00,1374930.38,0.00,Oro Grande,CA,92368,327310 - Cement Manufacturing,"C,H",Cement Plant
2243,Powerex Corp. - EPE,2020,519252.88,0.00,0.00,0.00,0.00,519252.88,0.00,0.00,0.00,0.00,519252.88,Vancouver,BC,V6C 2X8,221111 - Hydroelectric Power Generation,EPE,Electricity Importer
104625,Public Service Company of Colorado (PSCo) - EPE,2020,507117.70,0.00,0.00,0.00,0.00,507117.70,0.00,0.00,10338.10,10338.10,496779.60,denver,CO,80202,221112 - Fossil Fuel Electric Power Generation,EPE,Electricity Importer
104082,Southern California Gas Co - Distribution,2020,1366158.12,1366158.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1366158.12,Los Angeles,CA,90013,221210 - Natural Gas Distribution,W,Oil and Gas Production
101478,"High Desert Power Project, LLC",2020,1279213.88,1279213.88,0.00,0.00,0.00,0.00,1279213.88,0.00,0.00,1279213.88,0.00,Victorville,CA,92394,221112 - Fossil Fuel Electric Power Generation,"C,D",In-State Electricity Generation
3045,Modesto Irrigation District (MID) - EPE,2020,498187.87,0.00,0.00,0.00,0.00,498187.87,0.00,0.00,382268.77,382268.77,115919.09,Modesto,CA,95354,221122 - Electric Power Distribution,EPE,Electricity Importer
104056,River City Petroleum,2020,1252440.29,0.00,0.00,1184280.02,68160.27,0.00,0.00,1184280.02,0.00,1184280.02,68160.27,Sacramento,CA,95834,424720 - Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),MM,Transportation Fuel Supplier
104461,Salt River Project - EPE,2020,491963.52,0.00,0.00,0.00,0.00,491963.52,0.00,0.00,491963.52,491963.52,0.00,Tempe,AZ,85281,221112 - Fossil Fuel Electric Power Generation,EPE,Electricity Importer
104503,"SEI Fuel Services, Inc.",2020,1234579.05,0.00,0.00,1154327.03,80252.02,0.00,0.00,1154327.03,0.00,1154327.03,80252.02,Irving,TX,75063,447110 - Gasoline Stations with Convenience Stores,MM,Transportation Fuel Supplier
3056,"Riverside, City of Public Utilities - EPE",2020,472815.86,0.00,0.00,0.00,0.00,472815.86,0.00,0.00,472815.86,472815.86,0.00,Riverside,CA,92501,221122 - Electric Power Distribution,EPE,Electricity Importer
104041,Flint Hills Resources LP,2020,1229064.62,0.00,0.00,1153337.93,75726.69,0.00,0.00,1153337.93,0.00,1153337.93,75726.69,Wichita,KS,67220,424720 - Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),MM,Transportation Fuel Supplier
2369,Morgan Stanley Capital Group Inc. - EPE,2020,442689.11,0.00,0.00,0.00,0.00,442689.11,0.00,0.00,240202.45,240202.45,202486.66,New York,NY,10036,523110 - Investment Banking and Securities Dealing,EPE,Electricity Importer
101010,Mitsubishi Cement 2000,2020,1216324.21,1170053.21,46271.00,0.00,0.00,0.00,1170053.21,0.00,0.00,1170053.21,46271.00,Lucerne Valley,CA,92356,327310 - Cement Manufacturing,"C,H",Cement Plant
2127,Portland General Electric Company (PGE) - EPE,2020,410599.25,0.00,0.00,0.00,0.00,410599.25,0.00,0.00,56822.58,56822.58,353776.67,Portland,OR,97204,221112 - Fossil Fuel Electric Power Generation,EPE,Electricity Importer
104094,Berry Petroleum Company - San Joaquin Basin,2020,1205698.27,1205698.27,0.00,0.00,0.00,0.00,1203654.36,0.00,0.00,1203654.36,2043.91,Maricopa,CA,93268,211111 - Crude Petroleum and Natural Gas Extraction,"C,W",Oil and Gas Production
3058,Sacramento Municipal Utility District (SMUD) - EPE,2020,387709.02,0.00,0.00,0.00,0.00,387709.02,0.00,0.00,52075.94,52075.94,335633.08,Sacramento,CA,95817,221121 - Electric Bulk Power Transmission and Control,EPE,Electricity Importer
100338,"Calpine - Los Medanos Energy Center, LLC",2020,1198138.12,1198138.12,0.00,0.00,0.00,0.00,1198138.12,0.00,0.00,1198138.12,0.00,Pittsburg,CA,94565,221112 - Fossil Fuel Electric Power Generation,C,Cogeneration
101758,PG&E Colusa Generating Station,2020,1179821.07,1179821.07,0.00,0.00,0.00,0.00,1179821.07,0.00,0.00,1179821.07,0.00,Maxwell,CA,95955,221112 - Fossil Fuel Electric Power Generation,"C,D",In-State Electricity Generation
100344,Southern California Edison (SCE) - Mountainview,2020,1154048.27,1154048.27,0.00,0.00,0.00,0.00,1154048.27,0.00,0.00,1154048.27,0.00,Redlands,CA,92374,221112 - Fossil Fuel Electric Power Generation,"C,D",In-State Electricity Generation
101741,PG&E Gateway Generating Station,2020,1143586.45,1143586.45,0.00,0.00,0.00,0.00,1143586.45,0.00,0.00,1143586.45,0.00,Antioch,CA,94509,221112 - Fossil Fuel Electric Power Generation,"C,D",In-State Electricity Generation
100948,Sunrise Power Company,2020,1123353.52,1123353.52,0.00,0.00,0.00,0.00,1123353.52,0.00,0.00,1123353.52,0.00,Fellows,CA,93224,221112 - Fossil Fuel Electric Power Generation,D,In-State Electricity Generation
100303,Phillips 66 Company - San Francisco Refinery,2020,1121394.50,1121394.50,0.00,0.00,0.00,0.00,1120832.56,0.00,0.00,1120832.56,561.94,Rodeo,CA,94572,324110 - Petroleum Refineries,"C,P,Y",Refinery and Hydrogen Plant
3049,Pasadena Water & Power - EPE,2020,333710.60,0.00,0.00,0.00,0.00,333710.60,0.00,0.00,333710.60,333710.60,0.00,Pasadena,CA,91101,221122 - Electric Power Distribution,EPE,Electricity Importer
3027,Burbank Water & Power - EPE,2020,332500.76,0.00,0.00,0.00,0.00,332500.76,0.00,0.00,303306.03,303306.03,29194.74,Burbank,CA,90120,221121 - Electric Bulk Power Transmission and Control,EPE,Electricity Importer
101029,"CalPortland Company, Mojave Plant",2020,1116923.33,1116923.33,0.00,0.00,0.00,0.00,1116923.33,0.00,0.00,1116923.33,0.00,Mojave,CA,93501,327310 - Cement Manufacturing,"C,H",Cement Plant
101205,Ultramar Inc - Valero Wilmington,2020,963678.99,963678.99,0.00,0.00,0.00,0.00,963260.58,0.00,0.00,963260.58,418.41,Wilmington,CA,90744,324110 - Petroleum Refineries,"C,Y",Refinery
104030,California Resources Production Corporation - San Joaquin Valley Basin 745,2020,933074.87,933074.87,0.00,0.00,0.00,0.00,920511.22,0.00,0.00,920511.22,12563.65,Bakersfield,CA,93308,211111 - Crude Petroleum and Natural Gas Extraction,"C,W",Oil and Gas Production
100343,"Calpine - Metcalf Energy Center, LLC",2020,932274.17,932274.17,0.00,0.00,0.00,0.00,932274.17,0.00,0.00,932274.17,0.00,San Jose,CA,95013,221112 - Fossil Fuel Electric Power Generation,C,In-State Electricity Generation
101321,"AES Alamitos, LLC",2020,921914.25,921914.25,0.00,0.00,0.00,0.00,921914.25,0.00,0.00,921914.25,0.00,Long Beach,CA,90803,221112 - Fossil Fuel Electric Power Generation,"C,D",In-State Electricity Generation
101749,Air Liquide Large Industries US L.P. - Rodeo Hydrogen Plant,2020,882698.25,882698.25,0.00,0.00,0.00,0.00,882698.25,0.00,0.00,882698.25,0.00,Rodeo,CA,94572,325120 - Industrial Gas Manufacturing,"C,P",Hydrogen Plant
101314,National Cement Company - Lebec,2020,861617.31,836272.31,25345.00,0.00,0.00,0.00,836272.31,0.00,0.00,836272.31,25345.00,Lebec,CA,93243,327310 - Cement Manufacturing,"C,H",Cement Plant
100913,Phillips 66 Company - Los Angeles Refinery - Carson Plant,2020,830065.03,830065.03,0.00,0.00,0.00,0.00,827165.00,0.00,0.00,827165.00,2900.03,Carson,CA,90745,324110 - Petroleum Refineries,"C,P,PP,Y",Refinery and Hydrogen Plant / CO2 Supplier
5013,Southwest Gas Distribution Facilities,2020,814790.98,24781.25,0.00,790009.73,0.00,0.00,0.00,789621.78,0.00,789621.78,25169.20,Las Vegas,NV,89150,221210 - Natural Gas Distribution,"NN,W","Supplier of Natural Gas, NGL, or LPG"
101746,Calpine - Otay Mesa Energy Center,2020,813895.18,813895.18,0.00,0.00,0.00,0.00,813895.18,0.00,0.00,813895.18,0.00,San Diego,CA,92154,221112 - Fossil Fuel Electric Power Generation,C,In-State Electricity Generation
100362,SDG&E - Palomar Energy Center,2020,787193.66,787193.66,0.00,0.00,0.00,0.00,787193.66,0.00,0.00,787193.66,0.00,Escondido,CA,92029,221112 - Fossil Fuel Electric Power Generation,"C,D",In-State Electricity Generation
100342,Blythe Energy,2020,765455.38,765455.38,0.00,0.00,0.00,0.00,765455.38,0.00,0.00,765455.38,0.00,Blythe,CA,92225,221112 - Fossil Fuel Electric Power Generation,D,In-State Electricity Generation
101331,Tesoro Refining and Marketing Co. - Martinez,2020,764368.62,764368.62,0.00,0.00,0.00,0.00,763972.08,0.00,0.00,763972.08,396.54,Martinez,CA,94553,324110 - Petroleum Refineries,"C,P,PP,Y",Refinery and Hydrogen Plant / CO2 Supplier
101004,Los Angeles Department of Water & Power-Scattergood Generating Station (LADWP),2020,721103.08,721103.08,0.00,0.00,0.00,0.00,721103.08,0.00,0.00,721103.08,0.00,Playa del Rey,CA,90293,221112 - Fossil Fuel Electric Power Generation,D,In-State Electricity Generation
100127,Air Products Wilmington Hydrogen Plant,2020,707582.66,707582.66,0.00,0.00,0.00,0.00,707582.66,0.00,0.00,707582.66,0.00,Wilmington,CA,90744,325120 - Industrial Gas Manufacturing,"C,P",Hydrogen Plant
100888,Plains LPG Services/ Lone Star Frac & Isom Facility,2020,706820.52,43042.86,0.00,663777.65,0.00,0.00,43022.87,620.68,0.00,43643.55,663176.97,Shafter,CA,93263,211112 - Natural Gas Liquid Extraction,"C,NN,P,W","Oil and Gas Production / Supplier of Natural Gas, NGL, or LPG"
3079,WAPA - Sierra Nevada Region (SNR) - EPE,2020,281372.62,0.00,0.00,0.00,0.00,281372.62,0.00,0.00,281372.62,281372.62,0.00,Folsom,CA,95630,221111 - Hydroelectric Power Generation,EPE,Electricity Importer
104081,Sentinel Peak Resources - SJV Basin Facility,2020,701503.03,698209.54,0.00,3293.49,0.00,0.00,695294.35,0.00,0.00,695294.35,6208.68,Fellows,CA,93224,211111 - Crude Petroleum and Natural Gas Extraction,"C,NN,W","Oil and Gas Production / Supplier of Natural Gas, NGL, or LPG"
104211,La Rosita Power - EPE,2020,279956.68,0.00,0.00,0.00,0.00,279956.68,0.00,0.00,279956.68,279956.68,0.00,"Mexicali, Baja California",CA,21610,221122 - Electric Power Distribution,EPE,Electricity Importer
101703,"Midstream Energy Partners, USA, LLC",2020,698347.49,26960.77,0.00,671386.72,0.00,0.00,26890.43,70330.56,0.00,97220.99,601126.50,Tupman,CA,93276,211112 - Natural Gas Liquid Extraction,"C,NN,W","Oil and Gas Production / Supplier of Natural Gas, NGL, or LPG"
101263,"Crockett Cogeneration Project, LP",2020,670590.88,670590.88,0.00,0.00,0.00,0.00,670590.88,0.00,0.00,670590.88,0.00,Crockett,CA,94525,221112 - Fossil Fuel Electric Power Generation,C,Cogeneration
100339,La Paloma Generating Plant - GHG,2020,650515.83,650515.83,0.00,0.00,0.00,0.00,650515.83,0.00,0.00,650515.83,0.00,McKittrick,CA,93251,221112 - Fossil Fuel Electric Power Generation,C,In-State Electricity Generation
100194,"AES Huntington Beach, LLC",2020,645651.59,645651.59,0.00,0.00,0.00,0.00,645651.59,0.00,0.00,645651.59,0.00,Huntington Beach,CA,92646,221112 - Fossil Fuel Electric Power Generation,"C,D",In-State Electricity Generation
3034,Glendale Water & Power - EPE,2020,258783.14,0.00,0.00,0.00,0.00,258783.14,0.00,0.00,139443.41,139443.41,119339.72,Glendale,CA,91206,221122 - Electric Power Distribution,EPE,Electricity Importer
104062,Union Pacific Railroad Company,2020,612103.74,0.00,0.00,612103.74,0.00,0.00,0.00,612103.74,0.00,612103.74,0.00,Omaha,NE,68179,482111 - Line-Haul Railroads,MM,Transportation Fuel Supplier
104212,"Southern Counties Oil Co., A California Limited Partnership",2020,572024.57,0.00,0.00,550119.28,21905.29,0.00,0.00,550119.28,0.00,550119.28,21905.29,Orange,CA,92867,424720 - Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),MM,Transportation Fuel Supplier
104455,"DTE Stockton, LLC",2020,571324.94,8709.54,562615.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,571324.94,Stockton,CA,95203,221117 - Biomass Electric Power Generation,"C,D",In-State Electricity Generation
104215,E&B Natural Resources - San Joaquin Valley,2020,565844.50,565844.50,0.00,0.00,0.00,0.00,564760.15,0.00,0.00,564760.15,1084.35,Bakersfield,CA,93308,211111 - Crude Petroleum and Natural Gas Extraction,"C,W",Oil and Gas Production
101701,Air Liquide El Segundo Hydrogen Plant,2020,556633.96,556633.96,0.00,0.00,0.00,0.00,556633.96,0.00,0.00,556633.96,0.00,El Segundo,CA,90245,325120 - Industrial Gas Manufacturing,"C,P",Hydrogen Plant
100371,Turlock Irrigation District/ Walnut Energy Center,2020,555069.66,555069.66,0.00,0.00,0.00,0.00,555069.66,0.00,0.00,555069.66,0.00,Turlock,CA,95380,221112 - Fossil Fuel Electric Power Generation,D,In-State Electricity Generation
2292,Avangrid Renewables - EPE,2020,213280.18,0.00,0.00,0.00,0.00,213280.18,0.00,0.00,121262.75,121262.75,92017.43,Portland,OR,97209,221119 - Other Electric Power Generation,EPE,Electricity Importer
104077,BWP/MPP Electricity Generating Facilities at 164 W. Magnolia,2020,550956.51,550956.51,0.00,0.00,0.00,0.00,550956.51,0.00,0.00,550956.51,0.00,Burbank,CA,91503,221112 - Fossil Fuel Electric Power Generation,"C,D",In-State Electricity Generation
104438,Musket Corporation,2020,545432.01,0.00,0.00,123454.85,421977.15,0.00,0.00,123454.85,0.00,123454.85,421977.15,Houston,TX,77019,424720 - Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"MM,NN",Transportation Fuel Supplier
101461,Lehigh Cement West Inc.- Tehachapi,2020,533910.59,528815.19,5095.40,0.00,0.00,0.00,528815.19,0.00,0.00,528815.19,5095.40,Tehachapi,CA,93561,327310 - Cement Manufacturing,"C,H",Cement Plant
3064,Turlock Irrigation District (TID) - EPE,2020,194742.30,0.00,0.00,0.00,0.00,194742.30,0.00,0.00,93573.37,93573.37,101168.93,Turlock,CA,90120,221122 - Electric Power Distribution,EPE,Electricity Importer
5003,Long Beach Gas & Oil Dept (LBGO),2020,508754.12,0.00,0.00,508754.12,0.00,0.00,0.00,415398.60,0.00,415398.60,93355.53,Long Beach,CA,90806,221210 - Natural Gas Distribution,NN,"Supplier of Natural Gas, NGL, or LPG"
2312,"TransAlta Energy Marketing (US), Inc. - EPE",2020,186534.76,0.00,0.00,0.00,0.00,186534.76,0.00,0.00,186534.76,186534.76,0.00,Calgary,AB,T2P2M1,221122 - Electric Power Distribution,EPE,Electricity Importer
101248,Air Products Carson Hydrogen Plant,2020,507918.79,507918.79,0.00,0.00,0.00,0.00,507918.79,0.00,0.00,507918.79,0.00,Carson,CA,90810,325120 - Industrial Gas Manufacturing,"C,P",Hydrogen Plant
104025,"Pacific Gas and Electric Company (PG&E) - Gas Distribution System Fugitive Emissions (San Francisco, CA)",2020,497512.09,497512.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,497512.09,San Francisco,CA,94105,221210 - Natural Gas Distribution,W,Oil and Gas Production
3081,"Shell Energy North America (US), L.P. - EPE",2020,175462.57,0.00,0.00,0.00,0.00,175462.57,0.00,0.00,142010.82,142010.82,33451.75,San Diego,CA,92121,221122 - Electric Power Distribution,EPE,Electricity Importer
